category,Niederschlag (6 bis 6 UTC)
Mo 01.01.,3.4
Di 02.01.,4.9
Mi 03.01.,1
Do 04.01.,0.3
Fr 05.01.,1.3
Sa 06.01.,0.5
So 07.01.,0.1
Mo 08.01.,0.6
Di 09.01.,2.8
Mi 10.01.,1
Do 11.01.,1.9
Fr 12.01.,0.1
Sa 13.01.,0
So 14.01.,0.2
Mo 15.01.,0
Di 16.01.,0.1
Mi 17.01.,0.1
Do 18.01.,3.2
Fr 19.01.,3.4
Sa 20.01.,1.6
So 21.01.,4.3
Mo 22.01.,3.6
Di 23.01.,3.6
Mi 24.01.,1.6
Do 25.01.,0
Fr 26.01.,0.1
Sa 27.01.,0.2
So 28.01.,0
Mo 29.01.,0.1
Di 30.01.,0
Mi 31.01.,0
Do 01.02.,0
Fr 02.02.,0.2
Sa 03.02.,0
So 04.02.,0
Mo 05.02.,3.5
Di 06.02.,4
Mi 07.02.,1.6
Do 08.02.,5.1
Fr 09.02.,0
Sa 10.02.,0.8
So 11.02.,7.9
Mo 12.02.,5.6
Di 13.02.,0
Mi 14.02.,5.7
Do 15.02.,0.5
Fr 16.02.,0
Sa 17.02.,0
So 18.02.,0
Mo 19.02.,0
Di 20.02.,0
Mi 21.02.,0
Do 22.02.,0
Fr 23.02.,0
Sa 24.02.,0
So 25.02.,1.2
Mo 26.02.,9.2
Di 27.02.,5.2
Mi 28.02.,5.4
Do 01.03.,3.1
Fr 02.03.,3.5
Sa 03.03.,4.5
So 04.03.,0
Mo 05.03.,0
Di 06.03.,0
Mi 07.03.,2.1
Do 08.03.,0.7
Fr 09.03.,1.3
Sa 10.03.,0.5
So 11.03.,0
Mo 12.03.,0
Di 13.03.,0
Mi 14.03.,0
Do 15.03.,0
Fr 16.03.,0
Sa 17.03.,0
So 18.03.,0.8
Mo 19.03.,2
Di 20.03.,2.5
Mi 21.03.,2.5
Do 22.03.,0.9
Fr 23.03.,2.2
Sa 24.03.,0.6
So 25.03.,0
Mo 26.03.,0
Di 27.03.,0
Mi 28.03.,0
Do 29.03.,0
Fr 30.03.,0
Sa 31.03.,2.5
So 01.04.,0
Mo 02.04.,0
Di 03.04.,8.8
Mi 04.04.,0
Do 05.04.,0
Fr 06.04.,0
Sa 07.04.,0
So 08.04.,0
Mo 09.04.,0
Di 10.04.,0
Mi 11.04.,0
Do 12.04.,0
Fr 13.04.,0
Sa 14.04.,0
So 15.04.,0
Mo 16.04.,0
Di 17.04.,0
Mi 18.04.,0
Do 19.04.,0
Fr 20.04.,0
Sa 21.04.,0
So 22.04.,0
Mo 23.04.,0
Di 24.04.,0
Mi 25.04.,0
Do 26.04.,0
Fr 27.04.,0
Sa 28.04.,0
So 29.04.,0
Mo 30.04.,0
