category,Niederschlag (6 bis 6 UTC)
Mo 01.09.,0.3
Di 02.09.,0
Mi 03.09.,0
Do 04.09.,0
Fr 05.09.,0
Sa 06.09.,0
So 07.09.,0.2
Mo 08.09.,7.1
Di 09.09.,0
Mi 10.09.,1.5
Do 11.09.,4.9
Fr 12.09.,3.5
Sa 13.09.,0
So 14.09.,0
Mo 15.09.,0
Di 16.09.,0
Mi 17.09.,0
Do 18.09.,0
Fr 19.09.,0
Sa 20.09.,0
So 21.09.,0
Mo 22.09.,0
Di 23.09.,1.7
Mi 24.09.,0
Do 25.09.,0
Fr 26.09.,0
Sa 27.09.,0
So 28.09.,8.7
Mo 29.09.,0
Di 30.09.,0
Mi 01.10.,0.6
Do 02.10.,0.2
Fr 03.10.,5.3
Sa 04.10.,31.3
So 05.10.,22.1
Mo 06.10.,2.8
Di 07.10.,9.2
Mi 08.10.,10
Do 09.10.,1.6
Fr 10.10.,0
Sa 11.10.,0
So 12.10.,0
Mo 13.10.,0
Di 14.10.,0
Mi 15.10.,0
Do 16.10.,0
Fr 17.10.,0
Sa 18.10.,0
So 19.10.,0.3
Mo 20.10.,3
Di 21.10.,2.1
Mi 22.10.,0
Do 23.10.,0.1
Fr 24.10.,0
Sa 25.10.,0
So 26.10.,0
Mo 27.10.,0
Di 28.10.,0
Mi 29.10.,2.1
Do 30.10.,0.1
Fr 31.10.,0
Sa 01.11.,0.3
So 02.11.,0
Mo 03.11.,0
Di 04.11.,0
Mi 05.11.,0
Do 06.11.,0
Fr 07.11.,0
Sa 08.11.,0
So 09.11.,0
Mo 10.11.,0
Di 11.11.,0
Mi 12.11.,0.1
Do 13.11.,2.5
Fr 14.11.,0.4
Sa 15.11.,0
So 16.11.,2.1
Mo 17.11.,0.2
Di 18.11.,0
Mi 19.11.,0
Do 20.11.,0
Fr 21.11.,0
Sa 22.11.,0
So 23.11.,0
Mo 24.11.,0
Di 25.11.,0
Mi 26.11.,0
Do 27.11.,0
Fr 28.11.,15.1
Sa 29.11.,3.6
So 30.11.,0
Mo 01.12.,0
Di 02.12.,0
Mi 03.12.,0
Do 04.12.,0
Fr 05.12.,0
Sa 06.12.,0.5
So 07.12.,0
Mo 08.12.,0
Di 09.12.,0
Mi 10.12.,0
Do 11.12.,0.7
Fr 12.12.,0.1
Sa 13.12.,4.7
So 14.12.,6.5
Mo 15.12.,0.5
Di 16.12.,1
Mi 17.12.,0
Do 18.12.,0
Fr 19.12.,0
Sa 20.12.,2.7
So 21.12.,4.3
Mo 22.12.,0.4
Di 23.12.,0
Mi 24.12.,0
Do 25.12.,0
Fr 26.12.,0
Sa 27.12.,0
So 28.12.,1.1
Mo 29.12.,0
Di 30.12.,2.5
Mi 31.12.,6.2
