category,Niederschlag (6 bis 6 UTC)
So 01.01.,0.8
Mo 02.01.,2.2
Di 03.01.,0.3
Mi 04.01.,0
Do 05.01.,0
Fr 06.01.,0
Sa 07.01.,0
So 08.01.,0
Mo 09.01.,0.2
Di 10.01.,0.1
Mi 11.01.,0
Do 12.01.,0
Fr 13.01.,0
Sa 14.01.,0
So 15.01.,0
Mo 16.01.,0
Di 17.01.,17.5
Mi 18.01.,2.5
Do 19.01.,0
Fr 20.01.,1.9
Sa 21.01.,1.4
So 22.01.,0
Mo 23.01.,0
Di 24.01.,0
Mi 25.01.,0
Do 26.01.,0
Fr 27.01.,0
Sa 28.01.,0
So 29.01.,0
Mo 30.01.,0
Di 31.01.,0
Mi 01.02.,0
Do 02.02.,0
Fr 03.02.,0
Sa 04.02.,0.5
So 05.02.,0.3
Mo 06.02.,1.2
Di 07.02.,1.4
Mi 08.02.,1.3
Do 09.02.,1.2
Fr 10.02.,2.1
Sa 11.02.,0.1
So 12.02.,0
Mo 13.02.,0
Di 14.02.,0
Mi 15.02.,15.1
Do 16.02.,8.9
Fr 17.02.,0
Sa 18.02.,0.3
So 19.02.,0
Mo 20.02.,0.8
Di 21.02.,0
Mi 22.02.,0
Do 23.02.,0.1
Fr 24.02.,0
Sa 25.02.,3.1
So 26.02.,0.9
Mo 27.02.,0
Di 28.02.,0
Mi 01.03.,0.5
Do 02.03.,0
Fr 03.03.,20.4
Sa 04.03.,18
So 05.03.,0.8
Mo 06.03.,1
Di 07.03.,0.1
Mi 08.03.,14.9
Do 09.03.,6.1
Fr 10.03.,1.3
Sa 11.03.,1.5
So 12.03.,0.2
Mo 13.03.,0
Di 14.03.,0
Mi 15.03.,0
Do 16.03.,0
Fr 17.03.,0.3
Sa 18.03.,0
So 19.03.,0
Mo 20.03.,0
Di 21.03.,3.4
Mi 22.03.,0
Do 23.03.,0
Fr 24.03.,0.6
Sa 25.03.,5
So 26.03.,2.3
Mo 27.03.,1.3
Di 28.03.,14.3
Mi 29.03.,0.5
Do 30.03.,5.2
Fr 31.03.,6.6
Sa 01.04.,0
So 02.04.,0.8
Mo 03.04.,2.3
Di 04.04.,0.6
Mi 05.04.,11
Do 06.04.,0
Fr 07.04.,0
Sa 08.04.,0.7
So 09.04.,5.8
Mo 10.04.,18.4
Di 11.04.,3.7
Mi 12.04.,0.5
Do 13.04.,0.3
Fr 14.04.,0
Sa 15.04.,4.3
So 16.04.,4.9
Mo 17.04.,0.3
Di 18.04.,0
Mi 19.04.,0
Do 20.04.,0
Fr 21.04.,0
Sa 22.04.,1.1
So 23.04.,0.3
Mo 24.04.,0
Di 25.04.,0.1
Mi 26.04.,0.8
Do 27.04.,15.8
Fr 28.04.,11
Sa 29.04.,3
So 30.04.,0
