category,Niederschlag (6 bis 6 UTC)
Fr 01.05.,26.6
Sa 02.05.,5.5
So 03.05.,7.4
Mo 04.05.,0
Di 05.05.,10.8
Mi 06.05.,14.6
Do 07.05.,0
Fr 08.05.,0.1
Sa 09.05.,3.8
So 10.05.,0
Mo 11.05.,0
Di 12.05.,0
Mi 13.05.,13.8
Do 14.05.,0.1
Fr 15.05.,0.4
Sa 16.05.,1
So 17.05.,0.4
Mo 18.05.,2.5
Di 19.05.,21.5
Mi 20.05.,18.9
Do 21.05.,2
Fr 22.05.,0
Sa 23.05.,7.9
So 24.05.,0.3
Mo 25.05.,3.2
Di 26.05.,0.1
Mi 27.05.,0
Do 28.05.,0
Fr 29.05.,0.7
Sa 30.05.,0
So 31.05.,0
Mo 01.06.,1.3
Di 02.06.,0
Mi 03.06.,0
Do 04.06.,0
Fr 05.06.,0
Sa 06.06.,14.6
So 07.06.,13.2
Mo 08.06.,4
Di 09.06.,0
Mi 10.06.,0.1
Do 11.06.,0
Fr 12.06.,0
Sa 13.06.,5.5
So 14.06.,23.9
Mo 15.06.,8.3
Di 16.06.,0
Mi 17.06.,0
Do 18.06.,11.2
Fr 19.06.,0.2
Sa 20.06.,0.7
So 21.06.,0.6
Mo 22.06.,9
Di 23.06.,0.2
Mi 24.06.,0
Do 25.06.,0
Fr 26.06.,0
Sa 27.06.,2
So 28.06.,0
Mo 29.06.,0
Di 30.06.,0
Mi 01.07.,0
Do 02.07.,0
Fr 03.07.,0
Sa 04.07.,0
So 05.07.,1
Mo 06.07.,0
Di 07.07.,6.8
Mi 08.07.,3.6
Do 09.07.,1.5
Fr 10.07.,0
Sa 11.07.,0.2
So 12.07.,0
Mo 13.07.,0.9
Di 14.07.,0
Mi 15.07.,0
Do 16.07.,0
Fr 17.07.,0
Sa 18.07.,0
So 19.07.,1.2
Mo 20.07.,0
Di 21.07.,0
Mi 22.07.,0
Do 23.07.,1.2
Fr 24.07.,0
Sa 25.07.,0
So 26.07.,3.6
Mo 27.07.,0.4
Di 28.07.,1.6
Mi 29.07.,0.2
Do 30.07.,0
Fr 31.07.,0
Sa 01.08.,0.3
So 02.08.,0
Mo 03.08.,0
Di 04.08.,0
Mi 05.08.,0
Do 06.08.,0
Fr 07.08.,0
Sa 08.08.,0.4
So 09.08.,0
Mo 10.08.,0
Di 11.08.,0
Mi 12.08.,0
Do 13.08.,0
Fr 14.08.,0.4
Sa 15.08.,3.2
So 16.08.,3.5
Mo 17.08.,4.3
Di 18.08.,0
Mi 19.08.,0
Do 20.08.,3.3
Fr 21.08.,0
Sa 22.08.,0
So 23.08.,16.8
Mo 24.08.,15.4
Di 25.08.,0
Mi 26.08.,0
Do 27.08.,0
Fr 28.08.,0
Sa 29.08.,0
So 30.08.,0
Mo 31.08.,0
