category,Niederschlag (6 bis 6 UTC)
Do 01.10.,0
Fr 02.10.,0
Sa 03.10.,3.8
So 04.10.,0.1
Mo 05.10.,6.6
Di 06.10.,11.2
Mi 07.10.,3.7
Do 08.10.,0
Fr 09.10.,0.2
Sa 10.10.,4.7
So 11.10.,1.5
Mo 12.10.,0.1
Di 13.10.,0
Mi 14.10.,0.5
Do 15.10.,6.8
Fr 16.10.,8.9
Sa 17.10.,0.4
So 18.10.,0
Mo 19.10.,0
Di 20.10.,0
Mi 21.10.,0
Do 22.10.,0.3
Fr 23.10.,8.8
Sa 24.10.,1.5
So 25.10.,0
Mo 26.10.,11.8
Di 27.10.,0
Mi 28.10.,2.1
Do 29.10.,9.4
Fr 30.10.,0
Sa 31.10.,0
So 01.11.,4.9
Mo 02.11.,0
Di 03.11.,6.2
Mi 04.11.,0
Do 05.11.,0
Fr 06.11.,0
Sa 07.11.,0
So 08.11.,0
Mo 09.11.,0
Di 10.11.,0
Mi 11.11.,0
Do 12.11.,0
Fr 13.11.,0
Sa 14.11.,0
So 15.11.,3.7
Mo 16.11.,0.1
Di 17.11.,0
Mi 18.11.,0
Do 19.11.,1.3
Fr 20.11.,0
Sa 21.11.,0
So 22.11.,0
Mo 23.11.,0.3
Di 24.11.,0
Mi 25.11.,0
Do 26.11.,0
Fr 27.11.,0
Sa 28.11.,0
So 29.11.,0
Mo 30.11.,0
Di 01.12.,2.9
Mi 02.12.,0
Do 03.12.,0
Fr 04.12.,0
Sa 05.12.,2.6
So 06.12.,0
Mo 07.12.,0
Di 08.12.,0
Mi 09.12.,4.3
Do 10.12.,0
Fr 11.12.,0
Sa 12.12.,1.7
So 13.12.,2.7
Mo 14.12.,0
Di 15.12.,0
Mi 16.12.,0
Do 17.12.,0
Fr 18.12.,0
Sa 19.12.,0
So 20.12.,0
Mo 21.12.,6.4
Di 22.12.,0.3
Mi 23.12.,11.9
Do 24.12.,3.1
Fr 25.12.,0.3
Sa 26.12.,0
So 27.12.,0
Mo 28.12.,1.7
Di 29.12.,0
Mi 30.12.,0
Do 31.12.,0
