category,Niederschlag (6 bis 6 UTC)
Do 01.09.,0
Fr 02.09.,0
Sa 03.09.,0
So 04.09.,0
Mo 05.09.,0
Di 06.09.,0
Mi 07.09.,0
Do 08.09.,0
Fr 09.09.,0.7
Sa 10.09.,0.6
So 11.09.,0.6
Mo 12.09.,25.8
Di 13.09.,3.3
Mi 14.09.,0
Do 15.09.,0.5
Fr 16.09.,6.5
Sa 17.09.,0
So 18.09.,0
Mo 19.09.,0
Di 20.09.,0
Mi 21.09.,0
Do 22.09.,0
Fr 23.09.,0
Sa 24.09.,0
So 25.09.,0
Mo 26.09.,2.2
Di 27.09.,1.4
Mi 28.09.,4.8
Do 29.09.,1.6
Fr 30.09.,0
Sa 01.10.,14.2
So 02.10.,24.3
Mo 03.10.,0.6
Di 04.10.,0.1
Mi 05.10.,0
Do 06.10.,0
Fr 07.10.,0
Sa 08.10.,0
So 09.10.,0
Mo 10.10.,0
Di 11.10.,0
Mi 12.10.,0
Do 13.10.,0
Fr 14.10.,0
Sa 15.10.,0
So 16.10.,0
Mo 17.10.,0
Di 18.10.,0
Mi 19.10.,0.3
Do 20.10.,0
Fr 21.10.,0
Sa 22.10.,0
So 23.10.,1.5
Mo 24.10.,0
Di 25.10.,0
Mi 26.10.,0
Do 27.10.,0
Fr 28.10.,0
Sa 29.10.,0
So 30.10.,0
Mo 31.10.,0
Di 01.11.,4.2
Mi 02.11.,1.3
Do 03.11.,1.1
Fr 04.11.,2.9
Sa 05.11.,2
So 06.11.,0.1
Mo 07.11.,0
Di 08.11.,0
Mi 09.11.,0
Do 10.11.,0
Fr 11.11.,0
Sa 12.11.,0
So 13.11.,0
Mo 14.11.,0
Di 15.11.,0
Mi 16.11.,1.7
Do 17.11.,1
Fr 18.11.,3.6
Sa 19.11.,0
So 20.11.,6
Mo 21.11.,3.2
Di 22.11.,1.1
Mi 23.11.,0
Do 24.11.,1.2
Fr 25.11.,0.6
Sa 26.11.,0
So 27.11.,0
Mo 28.11.,1
Di 29.11.,0
Mi 30.11.,0
Do 01.12.,0
Fr 02.12.,0
Sa 03.12.,7.6
So 04.12.,2.8
Mo 05.12.,0
Di 06.12.,0.2
Mi 07.12.,0.9
Do 08.12.,0
Fr 09.12.,0
Sa 10.12.,0
So 11.12.,0
Mo 12.12.,0
Di 13.12.,0.3
Mi 14.12.,0
Do 15.12.,1.3
Fr 16.12.,9.8
Sa 17.12.,1.2
So 18.12.,0
Mo 19.12.,0.3
Di 20.12.,0.1
Mi 21.12.,0
Do 22.12.,0.9
Fr 23.12.,1.9
Sa 24.12.,0.9
So 25.12.,0.1
Mo 26.12.,0
Di 27.12.,0.5
Mi 28.12.,0.3
Do 29.12.,0
Fr 30.12.,4.9
Sa 31.12.,5
