category,Niederschlag (6 bis 6 UTC)
Fr 01.10.,0
Sa 02.10.,0
So 03.10.,0
Mo 04.10.,0.6
Di 05.10.,2.3
Mi 06.10.,0.3
Do 07.10.,0.2
Fr 08.10.,0.3
Sa 09.10.,0
So 10.10.,0
Mo 11.10.,1.1
Di 12.10.,7.2
Mi 13.10.,0.1
Do 14.10.,0
Fr 15.10.,0
Sa 16.10.,0
So 17.10.,0
Mo 18.10.,0
Di 19.10.,0
Mi 20.10.,0
Do 21.10.,1.9
Fr 22.10.,0.1
Sa 23.10.,0
So 24.10.,0
Mo 25.10.,0
Di 26.10.,0.1
Mi 27.10.,0
Do 28.10.,0
Fr 29.10.,0
Sa 30.10.,0
So 31.10.,0
Mo 01.11.,13.4
Di 02.11.,0
Mi 03.11.,8.7
Do 04.11.,0.5
Fr 05.11.,0
Sa 06.11.,0
So 07.11.,0.2
Mo 08.11.,0
Di 09.11.,0
Mi 10.11.,0
Do 11.11.,0
Fr 12.11.,0
Sa 13.11.,6.3
So 14.11.,0.1
Mo 15.11.,0
Di 16.11.,0
Mi 17.11.,0.2
Do 18.11.,0
Fr 19.11.,0
Sa 20.11.,0
So 21.11.,0.1
Mo 22.11.,0.9
Di 23.11.,0
Mi 24.11.,0
Do 25.11.,0
Fr 26.11.,0.1
Sa 27.11.,0.2
So 28.11.,2.4
Mo 29.11.,0.4
Di 30.11.,0.1
Mi 01.12.,0.2
Do 02.12.,1.5
Fr 03.12.,2.2
Sa 04.12.,6.9
So 05.12.,0
Mo 06.12.,0.8
Di 07.12.,0
Mi 08.12.,0.9
Do 09.12.,2.7
Fr 10.12.,2.5
Sa 11.12.,0.2
So 12.12.,2.7
Mo 13.12.,0
Di 14.12.,0.4
Mi 15.12.,0
Do 16.12.,0
Fr 17.12.,0
Sa 18.12.,0
So 19.12.,0
Mo 20.12.,0
Di 21.12.,0
Mi 22.12.,0
Do 23.12.,1.1
Fr 24.12.,6.7
Sa 25.12.,2.3
So 26.12.,0
Mo 27.12.,1
Di 28.12.,14.8
Mi 29.12.,10.9
Do 30.12.,1.2
Fr 31.12.,0
