category,Niederschlag (6 bis 6 UTC)
Do 01.01.,6.5
Fr 02.01.,6.7
Sa 03.01.,9.9
So 04.01.,5
Mo 05.01.,9.1
Di 06.01.,3.2
Mi 07.01.,1.9
Do 08.01.,0.3
Fr 09.01.,0.6
Sa 10.01.,0.4
So 11.01.,0
Mo 12.01.,1.1
Di 13.01.,1.6
Mi 14.01.,1.3
Do 15.01.,2.3
Fr 16.01.,1.6
Sa 17.01.,2.4
So 18.01.,4.6
Mo 19.01.,3
Di 20.01.,0.5
Mi 21.01.,0
Do 22.01.,0
Fr 23.01.,0
Sa 24.01.,4.3
So 25.01.,0
Mo 26.01.,0
Di 27.01.,0
Mi 28.01.,0
Do 29.01.,0
Fr 30.01.,0
Sa 31.01.,0
So 01.02.,0
Mo 02.02.,0
Di 03.02.,3.8
Mi 04.02.,3.6
Do 05.02.,2.4
Fr 06.02.,4.2
Sa 07.02.,0.8
So 08.02.,0
Mo 09.02.,0
Di 10.02.,0.9
Mi 11.02.,0.6
Do 12.02.,1.2
Fr 13.02.,0
Sa 14.02.,0
So 15.02.,0
Mo 16.02.,0
Di 17.02.,0
Mi 18.02.,2.2
Do 19.02.,0.7
Fr 20.02.,0.3
Sa 21.02.,0.5
So 22.02.,0
Mo 23.02.,0
Di 24.02.,0
Mi 25.02.,0.1
Do 26.02.,0
Fr 27.02.,0
Sa 28.02.,1.2
So 01.03.,1.6
Mo 02.03.,0.1
Di 03.03.,3.9
Mi 04.03.,1.7
Do 05.03.,0
Fr 06.03.,0.7
Sa 07.03.,0
So 08.03.,0.5
Mo 09.03.,0.9
Di 10.03.,0.8
Mi 11.03.,4
Do 12.03.,11
Fr 13.03.,4.5
Sa 14.03.,0
So 15.03.,0.2
Mo 16.03.,1
Di 17.03.,14.8
Mi 18.03.,0
Do 19.03.,0
Fr 20.03.,0
Sa 21.03.,0
So 22.03.,0
Mo 23.03.,1.5
Di 24.03.,5.7
Mi 25.03.,0.1
Do 26.03.,1.8
Fr 27.03.,0
Sa 28.03.,0
So 29.03.,0
Mo 30.03.,0
Di 31.03.,0
Mi 01.04.,0
Do 02.04.,0
Fr 03.04.,0
Sa 04.04.,5.8
So 05.04.,0.3
Mo 06.04.,0
Di 07.04.,0
Mi 08.04.,5
Do 09.04.,0
Fr 10.04.,0
Sa 11.04.,0
So 12.04.,0
Mo 13.04.,0
Di 14.04.,0
Mi 15.04.,0
Do 16.04.,0
Fr 17.04.,0
Sa 18.04.,0
So 19.04.,0
Mo 20.04.,0
Di 21.04.,0
Mi 22.04.,0
Do 23.04.,0
Fr 24.04.,0
Sa 25.04.,0
So 26.04.,4.6
Mo 27.04.,3.4
Di 28.04.,1.8
Mi 29.04.,0
Do 30.04.,5.4
