category,Niederschlag (6 bis 6 UTC)
So 01.10.,0
Mo 02.10.,0
Di 03.10.,0.1
Mi 04.10.,0
Do 05.10.,0
Fr 06.10.,0
Sa 07.10.,0
So 08.10.,0
Mo 09.10.,0.2
Di 10.10.,0
Mi 11.10.,0
Do 12.10.,0
Fr 13.10.,0
Sa 14.10.,4.8
So 15.10.,1.8
Mo 16.10.,0
Di 17.10.,0
Mi 18.10.,1.6
Do 19.10.,0.2
Fr 20.10.,0
Sa 21.10.,3.6
So 22.10.,0
Mo 23.10.,0
Di 24.10.,3
Mi 25.10.,1.2
Do 26.10.,17.2
Fr 27.10.,1.1
Sa 28.10.,0
So 29.10.,0
Mo 30.10.,10.4
Di 31.10.,0.7
Mi 01.11.,0
Do 02.11.,14.2
Fr 03.11.,2.9
Sa 04.11.,1.9
So 05.11.,0.2
Mo 06.11.,1.1
Di 07.11.,0.5
Mi 08.11.,0
Do 09.11.,0
Fr 10.11.,0.7
Sa 11.11.,1.9
So 12.11.,18.6
Mo 13.11.,15
Di 14.11.,15.5
Mi 15.11.,2
Do 16.11.,31.2
Fr 17.11.,1.5
Sa 18.11.,21.8
So 19.11.,0.4
Mo 20.11.,1.5
Di 21.11.,4.2
Mi 22.11.,0
Do 23.11.,0
Fr 24.11.,11.4
Sa 25.11.,2.5
So 26.11.,0
Mo 27.11.,9.5
Di 28.11.,6.7
Mi 29.11.,0
Do 30.11.,17.9
Fr 01.12.,37.1
Sa 02.12.,6.8
So 03.12.,0
Mo 04.12.,0.9
Di 05.12.,0.4
Mi 06.12.,0
Do 07.12.,0
Fr 08.12.,6.9
Sa 09.12.,7.2
So 10.12.,3.1
Mo 11.12.,0.1
Di 12.12.,13.6
Mi 13.12.,3.9
Do 14.12.,2.7
Fr 15.12.,0.1
Sa 16.12.,0
So 17.12.,0
Mo 18.12.,0
Di 19.12.,0.6
Mi 20.12.,1.1
Do 21.12.,8
Fr 22.12.,14.2
Sa 23.12.,1.6
So 24.12.,5.8
Mo 25.12.,0
Di 26.12.,0
Mi 27.12.,0
Do 28.12.,0
Fr 29.12.,0
Sa 30.12.,0
So 31.12.,3.5
