category,Niederschlag (6 bis 6 UTC)
Fr 01.09.,0.3
Sa 02.09.,0.6
So 03.09.,8.4
Mo 04.09.,5
Di 05.09.,0
Mi 06.09.,9.3
Do 07.09.,7.4
Fr 08.09.,0
Sa 09.09.,0
So 10.09.,0
Mo 11.09.,0
Di 12.09.,0
Mi 13.09.,7.5
Do 14.09.,0
Fr 15.09.,0
Sa 16.09.,12.1
So 17.09.,1.4
Mo 18.09.,0
Di 19.09.,0
Mi 20.09.,33.4
Do 21.09.,64.9
Fr 22.09.,0.5
Sa 23.09.,0
So 24.09.,0
Mo 25.09.,0
Di 26.09.,0
Mi 27.09.,0
Do 28.09.,0
Fr 29.09.,0
Sa 30.09.,0.2
So 01.10.,12.8
Mo 02.10.,27.5
Di 03.10.,3.3
Mi 04.10.,0
Do 05.10.,7.3
Fr 06.10.,15.9
Sa 07.10.,10
So 08.10.,3.2
Mo 09.10.,0
Di 10.10.,0
Mi 11.10.,3.4
Do 12.10.,0.1
Fr 13.10.,0
Sa 14.10.,0
So 15.10.,0
Mo 16.10.,0
Di 17.10.,0.2
Mi 18.10.,1.4
Do 19.10.,4.1
Fr 20.10.,0
Sa 21.10.,0
So 22.10.,0
Mo 23.10.,0
Di 24.10.,0.3
Mi 25.10.,0
Do 26.10.,3.4
Fr 27.10.,0
Sa 28.10.,0
So 29.10.,0
Mo 30.10.,0
Di 31.10.,4.8
Mi 01.11.,0
Do 02.11.,0.2
Fr 03.11.,2.3
Sa 04.11.,1.9
So 05.11.,0
Mo 06.11.,3.8
Di 07.11.,0
Mi 08.11.,0
Do 09.11.,0
Fr 10.11.,0.1
Sa 11.11.,0
So 12.11.,0
Mo 13.11.,0
Di 14.11.,4.4
Mi 15.11.,0.5
Do 16.11.,1.3
Fr 17.11.,3.5
Sa 18.11.,0
So 19.11.,0
Mo 20.11.,4.7
Di 21.11.,3.6
Mi 22.11.,0
Do 23.11.,0
Fr 24.11.,10.8
Sa 25.11.,1.7
So 26.11.,0.1
Mo 27.11.,1.3
Di 28.11.,3.1
Mi 29.11.,0
Do 30.11.,0
Fr 01.12.,0
Sa 02.12.,0
So 03.12.,0
Mo 04.12.,0
Di 05.12.,0
Mi 06.12.,0
Do 07.12.,0
Fr 08.12.,6.8
Sa 09.12.,1.1
So 10.12.,2
Mo 11.12.,0
Di 12.12.,0
Mi 13.12.,0
Do 14.12.,1.3
Fr 15.12.,0.4
Sa 16.12.,2.4
So 17.12.,0.3
Mo 18.12.,14.7
Di 19.12.,5.6
Mi 20.12.,0
Do 21.12.,0
Fr 22.12.,0
Sa 23.12.,0
So 24.12.,0
Mo 25.12.,1.1
Di 26.12.,0
Mi 27.12.,1.1
Do 28.12.,5.9
Fr 29.12.,1.5
Sa 30.12.,1.2
So 31.12.,0.1
