category,Niederschlag (6 bis 6 UTC)
Sa 01.05.,0.5
So 02.05.,8.8
Mo 03.05.,0
Di 04.05.,0.1
Mi 05.05.,2.5
Do 06.05.,6.1
Fr 07.05.,0.6
Sa 08.05.,3.3
So 09.05.,0.4
Mo 10.05.,0.2
Di 11.05.,0
Mi 12.05.,6.5
Do 13.05.,0.1
Fr 14.05.,0
Sa 15.05.,4.3
So 16.05.,2.3
Mo 17.05.,0
Di 18.05.,0.1
Mi 19.05.,0
Do 20.05.,0
Fr 21.05.,14.2
Sa 22.05.,0.8
So 23.05.,0
Mo 24.05.,0
Di 25.05.,0
Mi 26.05.,1.9
Do 27.05.,4.5
Fr 28.05.,0.2
Sa 29.05.,0
So 30.05.,0
Mo 31.05.,3
Di 01.06.,7.2
Mi 02.06.,8.8
Do 03.06.,15.4
Fr 04.06.,3.7
Sa 05.06.,7
So 06.06.,0
Mo 07.06.,0
Di 08.06.,0
Mi 09.06.,0
Do 10.06.,0.2
Fr 11.06.,11.7
Sa 12.06.,8
So 13.06.,0.1
Mo 14.06.,0
Di 15.06.,3.9
Mi 16.06.,0
Do 17.06.,0
Fr 18.06.,3.7
Sa 19.06.,6.8
So 20.06.,4.5
Mo 21.06.,1.1
Di 22.06.,0.1
Mi 23.06.,4.1
Do 24.06.,0
Fr 25.06.,0.1
Sa 26.06.,0
So 27.06.,0.5
Mo 28.06.,0.5
Di 29.06.,0
Mi 30.06.,0
Do 01.07.,11.8
Fr 02.07.,8.2
Sa 03.07.,0
So 04.07.,0.1
Mo 05.07.,3.9
Di 06.07.,5.3
Mi 07.07.,0
Do 08.07.,26.2
Fr 09.07.,0.3
Sa 10.07.,2.6
So 11.07.,3.3
Mo 12.07.,9.1
Di 13.07.,4.1
Mi 14.07.,2.7
Do 15.07.,0.3
Fr 16.07.,0
Sa 17.07.,1.1
So 18.07.,7.6
Mo 19.07.,0
Di 20.07.,1.2
Mi 21.07.,3.2
Do 22.07.,0.2
Fr 23.07.,2.7
Sa 24.07.,13
So 25.07.,0
Mo 26.07.,6.9
Di 27.07.,0
Mi 28.07.,0
Do 29.07.,0
Fr 30.07.,0
Sa 31.07.,0
So 01.08.,8
Mo 02.08.,0
Di 03.08.,0
Mi 04.08.,0
Do 05.08.,0
Fr 06.08.,5.5
Sa 07.08.,0
So 08.08.,0
Mo 09.08.,0
Di 10.08.,0
Mi 11.08.,0
Do 12.08.,12.4
Fr 13.08.,1.3
Sa 14.08.,7
So 15.08.,4.4
Mo 16.08.,0.9
Di 17.08.,0.1
Mi 18.08.,0
Do 19.08.,6
Fr 20.08.,4.2
Sa 21.08.,0.5
So 22.08.,0
Mo 23.08.,0
Di 24.08.,2.3
Mi 25.08.,3.1
Do 26.08.,13.6
Fr 27.08.,0
Sa 28.08.,0
So 29.08.,0.4
Mo 30.08.,2.6
Di 31.08.,0
