category,Niederschlag (6 bis 6 UTC)
So 01.05.,4.1
Mo 02.05.,6.1
Di 03.05.,1.4
Mi 04.05.,0
Do 05.05.,0
Fr 06.05.,0
Sa 07.05.,0
So 08.05.,0
Mo 09.05.,0
Di 10.05.,0
Mi 11.05.,0
Do 12.05.,9.1
Fr 13.05.,0
Sa 14.05.,15.1
So 15.05.,2.4
Mo 16.05.,0
Di 17.05.,0
Mi 18.05.,0
Do 19.05.,14.2
Fr 20.05.,0
Sa 21.05.,0
So 22.05.,0.3
Mo 23.05.,0
Di 24.05.,0
Mi 25.05.,0
Do 26.05.,11.2
Fr 27.05.,17
Sa 28.05.,0
So 29.05.,0
Mo 30.05.,0
Di 31.05.,33.7
Mi 01.06.,4.2
Do 02.06.,0
Fr 03.06.,0
Sa 04.06.,0
So 05.06.,4.7
Mo 06.06.,13.1
Di 07.06.,0
Mi 08.06.,1.9
Do 09.06.,0.4
Fr 10.06.,0
Sa 11.06.,5.5
So 12.06.,0
Mo 13.06.,0.2
Di 14.06.,0.3
Mi 15.06.,4.8
Do 16.06.,7.3
Fr 17.06.,7.8
Sa 18.06.,12.2
So 19.06.,3.8
Mo 20.06.,0.2
Di 21.06.,0.9
Mi 22.06.,7.5
Do 23.06.,12.2
Fr 24.06.,1
Sa 25.06.,1.9
So 26.06.,0
Mo 27.06.,0
Di 28.06.,0
Mi 29.06.,91.5
Do 30.06.,3.9
Fr 01.07.,6.9
Sa 02.07.,0
So 03.07.,0.9
Mo 04.07.,0
Di 05.07.,0
Mi 06.07.,0
Do 07.07.,14
Fr 08.07.,3.2
Sa 09.07.,22.4
So 10.07.,8.8
Mo 11.07.,0
Di 12.07.,0.6
Mi 13.07.,24.4
Do 14.07.,0.7
Fr 15.07.,0
Sa 16.07.,0
So 17.07.,6.4
Mo 18.07.,0.9
Di 19.07.,45.5
Mi 20.07.,17.5
Do 21.07.,0.1
Fr 22.07.,3.4
Sa 23.07.,1.9
So 24.07.,0.1
Mo 25.07.,0
Di 26.07.,0
Mi 27.07.,0
Do 28.07.,7.7
Fr 29.07.,0.8
Sa 30.07.,0
So 31.07.,0
Mo 01.08.,0
Di 02.08.,0
Mi 03.08.,8.5
Do 04.08.,0.9
Fr 05.08.,8.5
Sa 06.08.,0.9
So 07.08.,11
Mo 08.08.,0.4
Di 09.08.,9
Mi 10.08.,0
Do 11.08.,0
Fr 12.08.,0.8
Sa 13.08.,1.9
So 14.08.,11.4
Mo 15.08.,13.8
Di 16.08.,0
Mi 17.08.,0
Do 18.08.,0.2
Fr 19.08.,2.9
Sa 20.08.,0
So 21.08.,0
Mo 22.08.,0
Di 23.08.,0
Mi 24.08.,3.9
Do 25.08.,0
Fr 26.08.,1.1
Sa 27.08.,3
So 28.08.,0
Mo 29.08.,0
Di 30.08.,0
Mi 31.08.,0
