category,Niederschlag (6 bis 6 UTC)
So 01.01.,0
Mo 02.01.,0.4
Di 03.01.,0.7
Mi 04.01.,0.1
Do 05.01.,2.3
Fr 06.01.,0
Sa 07.01.,0
So 08.01.,0.1
Mo 09.01.,0.4
Di 10.01.,0.2
Mi 11.01.,4.3
Do 12.01.,0
Fr 13.01.,0.7
Sa 14.01.,0.2
So 15.01.,0.9
Mo 16.01.,0
Di 17.01.,0
Mi 18.01.,0.3
Do 19.01.,0
Fr 20.01.,2.4
Sa 21.01.,4.5
So 22.01.,0.1
Mo 23.01.,0.2
Di 24.01.,0
Mi 25.01.,0
Do 26.01.,0.1
Fr 27.01.,0.3
Sa 28.01.,0.1
So 29.01.,0
Mo 30.01.,0
Di 31.01.,0
Mi 01.02.,0
Do 02.02.,2.8
Fr 03.02.,3.3
Sa 04.02.,0
So 05.02.,0.6
Mo 06.02.,0
Di 07.02.,0
Mi 08.02.,0
Do 09.02.,0
Fr 10.02.,0
Sa 11.02.,0
So 12.02.,0
Mo 13.02.,0
Di 14.02.,0
Mi 15.02.,0
Do 16.02.,0
Fr 17.02.,0.2
Sa 18.02.,2.9
So 19.02.,0
Mo 20.02.,0
Di 21.02.,0
Mi 22.02.,0
Do 23.02.,0.2
Fr 24.02.,21.8
Sa 25.02.,2.8
So 26.02.,0.3
Mo 27.02.,0
Di 28.02.,0
Mi 01.03.,0
Do 02.03.,0
Fr 03.03.,0
Sa 04.03.,0
So 05.03.,0
Mo 06.03.,0
Di 07.03.,0
Mi 08.03.,5.1
Do 09.03.,0
Fr 10.03.,0.6
Sa 11.03.,0
So 12.03.,1.9
Mo 13.03.,3.3
Di 14.03.,6.4
Mi 15.03.,0.1
Do 16.03.,0
Fr 17.03.,0
Sa 18.03.,0
So 19.03.,4.7
Mo 20.03.,0
Di 21.03.,0
Mi 22.03.,0
Do 23.03.,0.2
Fr 24.03.,2.1
Sa 25.03.,0
So 26.03.,4.8
Mo 27.03.,2.2
Di 28.03.,0.3
Mi 29.03.,8.5
Do 30.03.,5.4
Fr 31.03.,3
